type,code,name,ISIN,start,market,group,CFI
,1260,富味鄉,TW0001260008,2012/11/26,興櫃,食品工業,ESVUFR
,1269,乾杯,TW0001269009,2016/08/29,興櫃,觀光餐旅,ESVUFR
,1271,晨暉生技,TW0001271005,2021/01/18,興櫃,生技醫療業,ESVUFR
,1293,利統,TW0001293009,2021/10/29,興櫃,食品工業,ESVUFR
,1343,旭東環保,TW0001343002,2021/03/25,興櫃,綠能環保,ESVUFR
,1480,東盟開發,TW0001480002,2023/10/27,興櫃,鋼鐵工業,ESVUFR
,1594,日高,TW0001594000,2010/10/13,興櫃,電機機械,ESVUFR
,1780,立弘,TW0001780005,2010/04/29,興櫃,生技醫療業,ESVUFR
,2071,震南鐵,TW0002071008,2019/09/23,興櫃,鋼鐵工業,ESVUFR
,2237,華德動能,TW0002237005,2014/12/23,興櫃,電機機械,ESVUFR
,2245,詠勝昌*,TW0002245008,2016/12/15,興櫃,電機機械,ESVUFR
,2249,湧盛,TW0002249000,2019/12/19,興櫃,電機機械,ESVUFR
,2252,為昇科,TW0002252004,2021/08/23,興櫃,其他電子業,ESVUFR
,2255,凱銳光電,TW0002255007,2021/11/30,興櫃,其他電子業,ESVUFR
,2256,歐特明,TW0002256005,2021/12/08,興櫃,其他電子業,ESVUFR
,2644,中信造船,TW0002644002,2022/10/11,興櫃,航運業,ESVUFR
,2733,維格餅家,TW0002733003,2012/12/24,興櫃,觀光餐旅,ESVUFR
,2741,老四川,TW0002741006,2014/10/28,興櫃,觀光餐旅,ESVUFR
,2758,路易莎咖啡,TW0002758000,2021/09/17,興櫃,觀光餐旅,ESVUFR
,2760,巨宇翔,TW0002760006,2022/12/26,興櫃,觀光餐旅,ESVUFR
,2761,橘焱胡同,TW0002761004,2022/04/20,興櫃,觀光餐旅,ESVUFR
,2938,床的世界,TW0002938008,2016/10/05,興櫃,居家生活,ESVUFR
,2940,歐都納,TW0002940004,2025/05/05,興櫃,運動休閒,ESVUFR
,2942,京站,TW0002942000,2018/03/31,興櫃,居家生活,ESVUFR
,3097,拍檔,TW0003097002,2002/08/02,興櫃,電腦及週邊設備業,ESVUFR
,3117,年程,TW0003117008,2012/08/31,興櫃,電子零組件業,ESVUFR
,3184,微邦,TW0003184008,2013/04/18,興櫃,生技醫療業,ESVUFR
,3473,智通聯網,TW0003473005,2025/08/11,興櫃,通信網路業,ESVUFR
,3585,聯致,TW0003585006,2007/10/25,興櫃,電子零組件業,ESVUFR
,3595,山太士,TW0003595005,2007/11/16,興櫃,光電業,ESVUFR
,3603,建祥國際,TW0003603007,2008/01/09,興櫃,電子通路業,ESVUFR
,3633,云光,TW0003633004,2008/08/06,興櫃,光電業,ESVUFR
,3659,百辰,TW0003659009,2009/10/19,興櫃,光電業,ESVUFR
,3678,聯享,TW0003678009,2009/10/22,興櫃,光電業,ESVUFR
,4115,善德生技,TW0004115001,2022/08/31,興櫃,生技醫療業,ESVUFR
,4117,普生,TW0004117007,2026/03/30,興櫃,生技醫療業,ESVUFR
,4150,優你康,TW0004150008,2010/09/15,興櫃,生技醫療業,ESVUFR
,4170,鑫品生醫,TW0004170006,2023/12/28,興櫃,生技醫療業,ESVUFR
,4172,因華,TW0004172002,2012/09/13,興櫃,生技醫療業,ESVUFR
,4186,尖端醫,TW0004186002,2012/11/27,興櫃,生技醫療業,ESVUFR
,4194,禾生技,TW0004194006,2013/12/13,興櫃,生技醫療業,ESVUFR
,4197,暐世,TW0004197009,2013/10/24,興櫃,生技醫療業,ESVUFR
,4431,敏成健康,TW0004431002,2011/08/30,興櫃,其他業,ESVUFR
,4537,旭東,TW0004537006,2012/05/03,興櫃,光電業,ESVUFR
,4544,春日,TW0004544002,2012/12/24,興櫃,電機機械,ESVUFR
,4546,長亨,TW0004546007,2013/07/30,興櫃,電機機械,ESVUFR
,4553,盛復,TW0004553003,2014/09/16,興櫃,電機機械,ESVUFR
,4559,久裕興,TW0004559000,2014/12/08,興櫃,運動休閒,ESVUFR
,4565,宏偉,TW0004565007,2016/10/05,興櫃,電機機械,ESVUFR
,4570,傑生,TW0004570007,2024/03/14,興櫃,電機機械,ESVUFR
,4573,高明鐵,TW0004573001,2018/07/26,興櫃,電機機械,ESVUFR
,4575,銓寶,TW0004575006,2018/11/19,興櫃,電機機械,ESVUFR
,4587,寶元數控,TW0004587001,2022/07/27,興櫃,電機機械,ESVUFR
,4589,碩陽電機,TW0004589007,2023/04/27,興櫃,電機機械,ESVUFR
,4724,宣捷幹細胞,TW0004724000,2023/06/16,興櫃,生技醫療業,ESVUFR
,4732,彥臣,TW0004732003,2007/12/25,興櫃,生技醫療業,ESVUFR
,4738,大同精化,TW0004738000,2009/09/09,興櫃,化學工業,ESVUFR
,4765,磐采,TW0004765003,2016/12/05,興櫃,化學工業,ESVUFR
