type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,70000U,譜瑞群益39售07,TW24Z70000U2,2024/03/12,上櫃,,RWSCPE
上櫃認購(售)權證,70001U,宣德國票3A售01,TW24Z70001U0,2024/03/12,上櫃,,RWSCPE
上櫃認購(售)權證,70002U,碩禾國票3A售01,TW24Z70002U8,2024/03/12,上櫃,,RWSCPE
上櫃認購(售)權證,70003U,福華凱基3B售01,TW24Z70003U6,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70004U,鈊象元富39售07,TW24Z70004U4,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70005U,新普統一3C售02,TW24Z70005U1,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70006U,環球晶群益39售02,TW24Z70006U9,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70007U,宏捷科國票3A售03,TW24Z70007U7,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70008U,智通國票3A售02,TW24Z70008U5,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70009U,鈊象國票3A售01,TW24Z70009U3,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70010U,鈊象國票3A售04,TW24Z70010U1,2024/03/13,上櫃,,RWSCPE
上櫃認購(售)權證,70011U,弘塑凱基39售04,TW24Z70011U9,2024/03/14,上櫃,,RWSCPE
上櫃認購(售)權證,70012U,力旺凱基39售04,TW24Z70012U7,2024/03/14,上櫃,,RWSCPE
上櫃認購(售)權證,70013U,台半凱基39售01,TW24Z70013U5,2024/03/14,上櫃,,RWSCPE
上櫃認購(售)權證,70014U,閎康國票3A售02,TW24Z70014U3,2024/03/14,上櫃,,RWSCPE
上櫃認購(售)權證,70015U,九暘國票3A售02,TW24Z70015U0,2024/03/14,上櫃,,RWSCPE
上櫃認購(售)權證,70016U,力旺群益43售01,TW24Z70016U8,2024/03/14,上櫃,,RWSCPE
上櫃認購(售)權證,70017U,中美晶元富39售03,TW24Z70017U6,2024/03/15,上櫃,,RWSCPE
上櫃認購(售)權證,70018U,昇佳電國票3A售02,TW24Z70018U4,2024/03/15,上櫃,,RWSCPE
上櫃認購(售)權證,70019U,家登國票39售02,TW24Z70019U2,2024/03/15,上櫃,,RWSCPE
上櫃認購(售)權證,70020U,新普中信3A售02,TW24Z70020U0,2024/03/15,上櫃,,RWSCPE
上櫃認購(售)權證,70021U,創惟國票3A售01,TW24Z70021U8,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70022U,晶呈國票3A售01,TW24Z70022U6,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70023U,世界群益3B售01,TW24Z70023U4,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70024U,智通群益3B售01,TW24Z70024U2,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70025U,鈊象群益3B售01,TW24Z70025U9,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70026U,鈊象凱基3A售01,TW24Z70026U7,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70027U,鈊象凱基3B售04,TW24Z70027U5,2024/03/18,上櫃,,RWSCPE
上櫃認購(售)權證,70028U,智通永豐3A售02,TW24Z70028U3,2024/03/19,上櫃,,RWSCPE
上櫃認購(售)權證,70029U,茂達群益3B售01,TW24Z70029U1,2024/03/19,上櫃,,RWSCPE
上櫃認購(售)權證,70030U,弘塑國票3A售03,TW24Z70030U9,2024/03/19,上櫃,,RWSCPE
上櫃認購(售)權證,70031U,佳邦國票3A售02,TW24Z70031U7,2024/03/19,上櫃,,RWSCPE
上櫃認購(售)權證,70032U,湧德元大39售05,TW24Z70032U5,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70033U,茂達凱基3B售01,TW24Z70033U3,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70034U,碩禾凱基3A售01,TW24Z70034U1,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70035U,宜鼎群益39售01,TW24Z70035U8,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70036U,原相群益3B售04,TW24Z70036U6,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70037U,晶呈群益39售02,TW24Z70037U4,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70038U,聯亞群益39售02,TW24Z70038U2,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70039U,宏捷科國票3A售04,TW24Z70039U0,2024/03/20,上櫃,,RWSCPE
上櫃認購(售)權證,70040U,良維國票3A售04,TW24Z70040U8,2024/03/20,上櫃,,RWSCPE
